,Date,Close,High,Low,Open,Volume,Return,PDM,MDM,TR,ATR,SMA+DM,SMA-DM,PDI,MDI,DX,ADX,MARKET_STATE,20,50,SMA_SIGNAL,SMA_CROSSOVER,GAIN,LOSS,AVERAGE_GAIN,AVERAGE_LOSS,RS,RSI,RSI_SIGNAL,RSI_CROSSOVER,FINAL_STRATEGY
0,2024-10-01,60837.0078125,64110.98046875,60189.27734375,63335.60546875,50220923500,,0.0,0.0,3921.703125,,,,,,,,sideways,,,0,,,,,,,,0,0.0,0.0
1,2024-10-02,60632.78515625,62357.6875,59996.94921875,60836.32421875,40762722398,-0.335688199655404,0.0,192.328125,2360.73828125,,,,,,,,sideways,,,0,0.0,0.0,33.5688199655404,,,,,0,0.0,0.0
2,2024-10-03,60759.40234375,61469.0390625,59878.8046875,60632.484375,36106447279,0.20882627636797935,0.0,118.14453125,1590.234375,,,,,,,,sideways,,,0,0.0,20.882627636797935,0.0,,,,,0,0.0,0.0
3,2024-10-04,62067.4765625,62465.9921875,60459.94140625,60754.625,29585472513,2.1528753876634443,996.953125,0.0,2006.05078125,,,,,,,,sideways,,,0,0.0,215.28753876634443,0.0,,,,,0,0.0,0.0
4,2024-10-05,62089.94921875,62371.0234375,61689.58203125,62067.609375,13305410749,0.03620681473552878,0.0,0.0,681.44140625,,,,,,,,sideways,,,0,0.0,3.620681473552878,0.0,,,,,0,0.0,0.0
5,2024-10-06,62818.953125,62959.5703125,61833.1484375,62084.98828125,14776233667,1.1741093613744757,588.546875,0.0,1126.421875,,,,,,,,sideways,,,0,0.0,117.41093613744758,0.0,,,,,0,0.0,0.0
6,2024-10-07,62236.66015625,64443.70703125,62152.55078125,62819.109375,34253562610,-0.9269383518558882,1484.13671875,0.0,2291.15625,,,,,,,,sideways,,,0,0.0,0.0,92.69383518558882,,,,,0,0.0,0.0
7,2024-10-08,62131.96875,63174.3046875,61843.5625,62221.64453125,28134475157,-0.1682150134457161,0.0,308.98828125,1330.7421875,,,,,,,,sideways,,,0,0.0,0.0,16.821501344571608,,,,,0,0.0,0.0
8,2024-10-09,60582.1015625,62508.8359375,60314.61328125,62131.7265625,27670982363,-2.4944762232405493,0.0,1528.94921875,2194.22265625,,,,,,,,sideways,,,0,0.0,0.0,249.44762232405492,,,,,0,0.0,0.0
9,2024-10-10,60274.5,61236.72265625,58895.20703125,60581.9296875,30452813570,-0.5077433013489285,0.0,1419.40625,2341.515625,,,,,,,,sideways,,,0,0.0,0.0,50.77433013489285,,,,,0,0.0,0.0
